OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,DATIERUNG,DATIERUNG_N,k-means_PC1,k-means_PC2,k-means_UMAP1,k-means_UMAP2,k-means(FUNDE),dbscan_PC1,dbscan_PC2,dbscan_UMAP1,dbscan_UMAP2,dbscan(FUNDE),agnes_PC1,agnes_PC2,agnes_UMAP1,agnes_UMAP2,agnes(FUNDE),"k-means(BEZ_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDKATEGORIE_N)","k-means(BEZ_N, DATIERUNG_N)","dbscan(BEZ_N, DATIERUNG_N)","agnes(BEZ_N, DATIERUNG_N)"
4548302,POINT (16.506032712294626 48.268557201335895),22,0.9545454545454546,Breitenlee,,,2,0.25,grab graben grube,33,1.0,-0.0165520731680935,0.0467517591052252,-28.255615,1.2767212,0,-0.0165520742420185,0.0467517136498447,-7.299647,33.412285,-1,-0.0165520659935481,0.0467517193811615,31.4354,0.45834985,0,1,1,2,0,0,2
4548304,POINT (16.484832693923348 48.26825994808077),22,0.9545454545454546,Breitenlee,,,2,0.25,grube,33,1.0,-0.0263518825264483,0.02273835884829,13.566491,6.081469,0,-0.0263518216530115,0.0227382249332887,12.775932,15.914469,0,-0.0263518387469137,0.0227382673870505,11.41838,3.8300807,0,1,1,2,0,0,2
4548305,POINT (16.41079862222708 48.135483788190484),10,0.4090909090909091,Liesingbach,,,4,0.75,nichts,21,0.625,-0.0031565575480159,0.0566760879654998,-21.347918,12.468892,0,-0.0031565834322264,0.0566761134972785,-32.38898,29.974337,2,-0.0031565725029941,0.0566760676567515,48.88022,18.68839,0,0,-1,0,2,0,1
4548306,POINT (16.449405587576486 48.15294288678536),11,0.4545454545454545,Thürnlhofstraße,1,,1,0.0,bronzenadel,32,0.96875,-0.0043856432864337,0.0609472565941721,17.766724,11.387545,0,-0.0043856946734244,0.0609472982999259,-14.685678,10.547737,-1,-0.0043856731629686,0.0609472225132797,11.273883,12.412809,0,1,0,1,0,0,1
4548307,POINT (16.353285111257176 48.21861816222604),9,0.3636363636363636,Spitalgasse,2,,2,0.25,mauerwerk kanal grab keramik metall,22,0.65625,0.094564247188688,-0.1574480294326022,-0.27046764,0.67170703,0,0.0945642646464823,-0.1574480962212683,-1.9109551,9.843336,0,0.0945641654933784,-0.1574479986058833,17.465605,4.461662,0,0,1,1,2,0,1
4548308,POINT (16.354838999936568 48.21079636348832),8,0.3181818181818182,Friedrich-Schmidt-Platz,4,,2,0.25,planierschicht brunnen keramik bein tierknochen metall,21,0.625,-0.0925050302706802,-0.0593597309672487,-14.301964,1.5764648,0,-0.0925050637914912,-0.0593596942336982,0.16214564,16.469109,-1,-0.09250499240976,-0.0593596991879458,24.90393,0.5375737,0,0,1,1,2,0,1
4548309,POINT (16.351342753922626 48.20579315963956),7,0.2727272727272727,Kellermanngasse,1,3,2,0.25,mauerwerk,21,0.625,0.8011318815615338,-0.2084214997512493,-11.391767,21.697294,2,0.8011318718911935,-0.2084214774364369,-21.361565,16.195957,0,0.8011318575200804,-0.2084214833961833,-4.199406,22.842358,2,0,1,1,2,0,1
4548310,POINT (16.33455819124602 48.20226645411528),15,0.6363636363636365,Sorbaitgasse,7,,3,0.5,menschenknochen,21,0.625,-0.0051349238726987,0.0579004102659799,-19.058311,-8.587814,0,-0.0051349869484814,0.0579004810510403,-1.3917592,2.6262445,-1,-0.0051349726248818,0.0579004114711569,-2.9091332,4.6347833,0,1,2,1,0,0,2
4548311,POINT (16.28204805444246 48.178967157088884),13,0.5454545454545455,Veitingergasse,9,,1,0.0,streufunde,14,0.40625,-0.0031822198288253,0.0571452909964941,-21.95567,12.559597,0,-0.0031822476032842,0.0571453184074869,-32.112785,29.366964,-1,-0.0031822360506577,0.0571452698891893,48.35803,18.514439,0,1,0,1,0,1,0
4548312,POINT (16.35464172202376 48.187459860936656),5,0.1818181818181818,Bacherplatz,6,8,1,0.0,keramik ziegel schlacke holzkohle asche silex,25,0.75,-0.0703684657035317,-0.024283567035263,-21.653116,13.472567,0,-0.0703685154442708,-0.024283495500001,-31.903559,30.988756,-1,-0.0703684854214953,-0.0242835631948312,48.20205,17.875257,0,0,0,1,2,0,1
