OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4546949,POINT (16.271566067232047 48.14828200812114),23,1.0,Maurer Lange Gasse,34,36,1,0.0,457,0.6212534059945504,27,0.8125,1,0,1,2,0,2,1,0,1
4546950,POINT (16.294337568086352 48.15457906557718),23,1.0,Tullnertalgasse,,,1,0.0,319,0.433242506811989,32,0.96875,1,1,1,2,0,2,1,0,1
4546951,POINT (16.336164497665074 48.18965608190796),15,0.6363636363636365,Sechshauser Straße,10,12,1,0.0,457,0.6212534059945504,27,0.8125,1,-1,0,2,0,0,1,0,0
4546952,POINT (16.368380810537612 48.209195699467095),1,0.0,Kohlmarkt,1,,2,0.25,319,0.433242506811989,11,0.3125,2,2,0,0,1,0,0,0,0
4546952,POINT (16.368380810537612 48.209195699467095),1,0.0,Kohlmarkt,1,,2,0.25,120,0.162125340599455,11,0.3125,2,3,0,0,1,0,0,0,0
4546953,POINT (16.286713271648992 48.206562411907534),14,0.5909090909090909,Spiegelgrundstraße,,,1,0.0,457,0.6212534059945504,27,0.8125,1,4,0,2,0,0,1,0,0
4546954,POINT (16.331921777870146 48.21817157525246),17,0.7272727272727273,Elterleinplatz,,,2,0.25,715,0.9727520435967304,27,0.8125,1,5,1,2,0,2,1,0,1
4546955,POINT (16.302385555049 48.247193120699286),18,0.7727272727272728,Pötzleinsdorfer Höhe,,,2,0.25,422,0.5735694822888283,21,0.625,1,6,1,2,0,2,1,0,1
4546956,POINT (16.34790833238284 48.26631478784286),19,0.8181818181818182,Nußberg,,,1,0.0,457,0.6212534059945504,21,0.625,1,7,1,2,0,2,1,0,1
4546957,POINT (16.357230516699023 48.27038779958785),19,0.8181818181818182,Burgstall,,,1,0.0,319,0.433242506811989,32,0.96875,1,8,1,2,0,2,1,0,1
4546957,POINT (16.357230516699023 48.27038779958785),19,0.8181818181818182,Burgstall,,,1,0.0,295,0.4005449591280653,32,0.96875,1,-1,1,2,0,2,1,0,1
4546958,POINT (16.355294980579842 48.24825279316186),19,0.8181818181818182,Hohe Warte,,,1,0.0,457,0.6212534059945504,27,0.8125,1,7,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,223,0.3024523160762942,33,1.0,1,9,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,428,0.5817438692098093,33,1.0,1,10,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,109,0.1471389645776566,33,1.0,1,-1,1,2,-1,2,1,0,1
4546960,POINT (16.347580823132585 48.27767566725898),19,0.8181818181818182,Leopoldsberg,,,1,0.0,651,0.885558583106267,32,0.96875,1,-1,1,2,0,2,1,0,1
4546961,POINT (16.34605179478264 48.27766612378345),19,0.8181818181818182,Leopoldsberg,,,1,0.0,20,0.0258855585831062,33,1.0,1,-1,1,2,-1,2,1,0,1
4546962,POINT (16.34556917174854 48.27800335210538),19,0.8181818181818182,Leopoldsberg,,,1,0.0,319,0.433242506811989,33,1.0,1,8,1,2,0,2,1,0,1
4546963,POINT (16.341790251036123 48.278473481246216),19,0.8181818181818182,Waldbachsteig,,,1,0.0,555,0.7547683923705722,32,0.96875,1,-1,1,2,0,2,1,0,1
4546963,POINT (16.341790251036123 48.278473481246216),19,0.8181818181818182,Waldbachsteig,,,1,0.0,319,0.433242506811989,32,0.96875,1,8,1,2,0,2,1,0,1
4546964,POINT (16.34515570569013 48.27639330356878),19,0.8181818181818182,Leopoldsberg,,,1,0.0,319,0.433242506811989,33,1.0,1,8,1,2,0,2,1,0,1
4546965,POINT (16.371162288905037 48.232572700330564),20,0.8636363636363638,Brigittaplatz,,,1,0.0,457,0.6212534059945504,27,0.8125,1,-1,1,2,0,2,1,0,1
4546966,POINT (16.39032238756771 48.238719684094704),20,0.8636363636363638,Zwischenbrücken,,,1,0.0,600,0.8160762942779292,32,0.96875,1,-1,1,2,0,2,1,0,1
4546967,POINT (16.411614366709575 48.254177667432494),21,0.9090909090909092,Donaufelder Straße,37,,1,0.0,457,0.6212534059945504,21,0.625,1,11,1,2,0,2,1,0,1
4546967,POINT (16.411614366709575 48.254177667432494),21,0.9090909090909092,Donaufelder Straße,37,,1,0.0,319,0.433242506811989,21,0.625,1,12,1,2,0,2,1,0,1
4546968,POINT (16.370833804836515 48.200892646749885),1,0.0,Akademiestraße,12,,2,0.25,422,0.5735694822888283,33,1.0,0,13,0,1,0,0,3,0,0
4546969,POINT (16.481948750970187 48.23621469491987),22,0.9545454545454546,Farngasse,,,1,0.0,180,0.2438692098092643,32,0.96875,1,-1,1,2,0,2,1,0,1
4546969,POINT (16.481948750970187 48.23621469491987),22,0.9545454545454546,Farngasse,,,1,0.0,319,0.433242506811989,32,0.96875,1,14,1,2,0,2,1,0,1
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,337,0.4577656675749318,27,0.8125,2,15,0,1,0,0,3,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,211,0.2861035422343324,27,0.8125,2,17,0,1,0,0,3,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,568,0.7724795640326976,27,0.8125,0,19,0,3,0,0,2,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,461,0.6267029972752044,27,0.8125,0,20,0,1,0,0,3,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,715,0.9727520435967304,27,0.8125,0,21,0,3,0,0,2,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,626,0.8514986376021798,27,0.8125,0,18,0,3,0,0,2,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,457,0.6212534059945504,27,0.8125,0,20,0,1,0,0,3,0,0
4546970,POINT (16.39129801964951 48.19396058417803),3,0.0909090909090909,Boerhaavegasse,16,,2,0.25,61,0.0817438692098092,27,0.8125,2,22,0,1,0,0,3,0,0
4546971,POINT (16.370748198143012 48.1930127706999),4,0.1363636363636363,Favoritenstraße (Theresianum),,,1,0.0,319,0.433242506811989,9,0.25,2,23,0,0,1,0,0,0,0
4546972,POINT (16.372096319495334 48.2002328030124),1,0.0,Karlsplatz,,,4,0.75,32,0.0422343324250681,33,1.0,2,3,0,1,-1,0,3,-1,0
4546973,POINT (16.296984420267286 48.16395336951373),12,0.4999999999999999,Dorfmeistergasse,11,,2,0.25,696,0.946866485013624,27,0.8125,0,24,0,3,0,0,2,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,241,0.326975476839237,15,0.4375,2,25,0,0,1,0,0,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,715,0.9727520435967304,15,0.4375,0,26,0,3,1,0,2,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,319,0.433242506811989,15,0.4375,2,2,0,0,1,0,0,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,644,0.8760217983651226,15,0.4375,0,27,0,3,1,0,2,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,568,0.7724795640326976,15,0.4375,0,28,0,3,1,0,2,0,0
4546974,POINT (16.376479013902564 48.21081878360954),1,0.0,Fleischmarkt,3,5,2,0.25,362,0.491825613079019,15,0.4375,2,29,0,0,1,0,0,0,0
4546975,POINT (16.349463427951743 48.193229296985955),6,0.2272727272727272,Gumpendorfer Straße,89,,2,0.25,524,0.7125340599455041,33,1.0,0,-1,0,3,-1,0,2,0,0
4546975,POINT (16.349463427951743 48.193229296985955),6,0.2272727272727272,Gumpendorfer Straße,89,,2,0.25,241,0.326975476839237,33,1.0,2,30,0,1,-1,0,3,0,0
4546976,POINT (16.339832146696462 48.216957833780164),17,0.7272727272727273,Hernalser Hauptstraße,20,22,2,0.25,120,0.162125340599455,11,0.3125,1,-1,1,2,-1,1,1,0,1
4546976,POINT (16.339832146696462 48.216957833780164),17,0.7272727272727273,Hernalser Hauptstraße,20,22,2,0.25,319,0.433242506811989,11,0.3125,1,31,1,2,2,1,1,0,1
4546976,POINT (16.339832146696462 48.216957833780164),17,0.7272727272727273,Hernalser Hauptstraße,20,22,2,0.25,211,0.2861035422343324,11,0.3125,1,-1,1,2,2,1,1,0,1
4546976,POINT (16.339832146696462 48.216957833780164),17,0.7272727272727273,Hernalser Hauptstraße,20,22,2,0.25,650,0.8841961852861036,11,0.3125,1,32,1,2,-1,3,1,0,0
4546977,POINT (16.474349010381438 48.15832427220131),11,0.4545454545454545,Münnichplatz,,,2,0.25,422,0.5735694822888283,11,0.3125,1,33,0,0,1,0,0,0,0
4546977,POINT (16.474349010381438 48.15832427220131),11,0.4545454545454545,Münnichplatz,,,2,0.25,374,0.5081743869209809,11,0.3125,1,34,0,0,1,0,0,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,422,0.5735694822888283,23,0.6875,0,35,0,1,0,0,3,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,709,0.9645776566757494,23,0.6875,0,21,0,3,0,0,2,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,319,0.433242506811989,23,0.6875,2,16,0,1,0,0,3,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,650,0.8841961852861036,23,0.6875,0,18,0,3,0,0,2,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,715,0.9727520435967304,23,0.6875,0,21,0,3,0,0,2,0,0
4546978,POINT (16.38628197202169 48.19487392412734),3,0.0909090909090909,Ungargasse,66,,2,0.25,407,0.5531335149863761,23,0.6875,0,86,0,1,0,0,3,0,0
4546979,POINT (16.374723998660915 48.210375750759304),1,0.0,Rotenturmstraße,10,12,1,0.0,460,0.6253405994550408,33,1.0,0,13,0,1,0,0,3,0,0
4546980,POINT (16.368702726902633 48.20164051781383),1,0.0,Elisabethstraße,1,,3,0.5,223,0.3024523160762942,11,0.3125,2,25,0,0,1,0,0,0,0
4546981,POINT (16.372383933237636 48.20927313459238),1,0.0,Brandstätte,1,,1,0.0,603,0.8201634877384196,27,0.8125,0,27,0,3,0,0,2,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,10,0.0122615803814713,27,0.8125,2,3,0,1,0,0,3,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,319,0.433242506811989,27,0.8125,2,2,0,1,0,0,3,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,92,0.1239782016348773,27,0.8125,2,3,0,1,0,0,3,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,337,0.4577656675749318,27,0.8125,2,2,0,1,0,0,3,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4546982,POINT (16.369612967284635 48.21241962199743),1,0.0,Wipplingerstraße,16,,1,0.0,409,0.555858310626703,27,0.8125,0,13,0,1,0,0,3,0,0
4546983,POINT (16.37114460251386 48.21122225885598),1,0.0,Schultergasse,5,,1,0.0,457,0.6212534059945504,27,0.8125,0,13,0,1,0,0,3,0,0
4546984,POINT (16.372610809551244 48.20095982465989),1,0.0,Dumbagasse,1,,1,0.0,103,0.1389645776566757,33,1.0,2,3,0,1,-1,0,3,0,0
4546985,POINT (16.369752463118765 48.20771591290831),1,0.0,Dorotheergasse,5,7,2,0.25,241,0.326975476839237,15,0.4375,2,25,0,0,1,0,0,0,0
4546985,POINT (16.369752463118765 48.20771591290831),1,0.0,Dorotheergasse,5,7,2,0.25,319,0.433242506811989,15,0.4375,2,2,0,0,1,0,0,0,0
4546985,POINT (16.369752463118765 48.20771591290831),1,0.0,Dorotheergasse,5,7,2,0.25,457,0.6212534059945504,15,0.4375,0,13,0,0,1,0,0,0,0
4546985,POINT (16.369752463118765 48.20771591290831),1,0.0,Dorotheergasse,5,7,2,0.25,715,0.9727520435967304,15,0.4375,0,26,0,3,1,0,2,0,0
4546986,POINT (16.372476253911756 48.2091131160875),1,0.0,Stephansplatz,8,,1,0.0,457,0.6212534059945504,27,0.8125,0,13,0,1,0,0,3,0,0
4546986,POINT (16.372476253911756 48.2091131160875),1,0.0,Stephansplatz,8,,1,0.0,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4546987,POINT (16.384110196759316 48.201574236124436),3,0.0909090909090909,Rechte Bahngasse,14,,1,0.0,211,0.2861035422343324,27,0.8125,2,17,0,1,0,0,3,0,0
4547183,POINT (16.344570067993516 48.21086899094333),8,0.3181818181818182,Skodagasse,4,,1,0.0,457,0.6212534059945504,27,0.8125,0,-1,0,1,0,0,3,0,0
4547184,POINT (16.35617335814978 48.22221113524105),9,0.3636363636363636,Boltzmanngasse,7,,1,0.0,211,0.2861035422343324,27,0.8125,2,-1,0,1,0,0,3,0,0
4547185,POINT (16.35679246796036 48.224309318216704),9,0.3636363636363636,Boltzmanngasse,28,30,2,0.25,241,0.326975476839237,21,0.625,2,36,0,1,0,0,3,0,0
4547185,POINT (16.35679246796036 48.224309318216704),9,0.3636363636363636,Boltzmanngasse,28,30,2,0.25,319,0.433242506811989,21,0.625,2,37,0,1,0,0,3,0,0
4547186,POINT (16.35451409450784 48.228562135594224),9,0.3636363636363636,Nußdorfer Straße,53,,3,0.5,428,0.5817438692098093,27,0.8125,0,38,0,1,0,0,3,0,0
4547186,POINT (16.35451409450784 48.228562135594224),9,0.3636363636363636,Nußdorfer Straße,53,,3,0.5,650,0.8841961852861036,27,0.8125,0,39,0,3,0,0,2,0,0
4547186,POINT (16.35451409450784 48.228562135594224),9,0.3636363636363636,Nußdorfer Straße,53,,3,0.5,715,0.9727520435967304,27,0.8125,0,40,0,3,0,0,2,0,0
4547187,POINT (16.351099180562073 48.216900792420844),9,0.3636363636363636,Spitalgasse,13,17,3,0.5,428,0.5817438692098093,21,0.625,0,38,0,1,0,0,3,0,0
4547188,POINT (16.388342553851757 48.19828085959583),3,0.0909090909090909,Engelsberggasse,5,,3,0.5,68,0.0912806539509536,27,0.8125,2,22,0,1,0,0,3,0,0
4547188,POINT (16.388342553851757 48.19828085959583),3,0.0909090909090909,Engelsberggasse,5,,3,0.5,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4547189,POINT (16.397548125057025 48.20599614383455),2,0.0454545454545454,Rotundenbrücke,,,1,0.0,319,0.433242506811989,33,1.0,2,41,0,1,0,0,3,0,0
4547189,POINT (16.397548125057025 48.20599614383455),2,0.0454545454545454,Rotundenbrücke,,,1,0.0,547,0.7438692098092643,33,1.0,0,-1,0,3,0,0,2,0,0
4547190,POINT (16.4082184861803 48.18686494442985),3,0.0909090909090909,Maria-Jacobi-Gasse,,,3,0.5,630,0.8569482288828338,27,0.8125,0,18,0,3,0,0,2,0,0
4547190,POINT (16.4082184861803 48.18686494442985),3,0.0909090909090909,Maria-Jacobi-Gasse,,,3,0.5,428,0.5817438692098093,27,0.8125,0,35,0,1,0,0,3,0,0
4547191,POINT (16.503561904590004 48.253897069238896),22,0.9545454545454546,Breitenlee,,,3,0.5,223,0.3024523160762942,27,0.8125,1,42,1,2,0,2,1,0,1
4547191,POINT (16.503561904590004 48.253897069238896),22,0.9545454545454546,Breitenlee,,,3,0.5,428,0.5817438692098093,27,0.8125,1,43,1,2,0,2,1,0,1
4547192,POINT (16.47954996991611 48.216931043627255),22,0.9545454545454546,Aspern (Friedhof),,,1,0.0,319,0.433242506811989,32,0.96875,1,14,1,2,0,2,1,0,1
4547193,POINT (16.392022492996592 48.192666331321156),3,0.0909090909090909,Rennweg,54,,2,0.25,241,0.326975476839237,27,0.8125,2,44,0,1,0,0,3,0,0
4547193,POINT (16.392022492996592 48.192666331321156),3,0.0909090909090909,Rennweg,54,,2,0.25,120,0.162125340599455,27,0.8125,2,22,0,1,0,0,3,0,0
4547193,POINT (16.392022492996592 48.192666331321156),3,0.0909090909090909,Rennweg,54,,2,0.25,422,0.5735694822888283,27,0.8125,0,35,0,1,0,0,3,0,0
4547193,POINT (16.392022492996592 48.192666331321156),3,0.0909090909090909,Rennweg,54,,2,0.25,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,422,0.5735694822888283,13,0.375,0,45,0,0,1,0,0,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,241,0.326975476839237,13,0.375,2,46,0,0,1,0,0,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,319,0.433242506811989,13,0.375,2,47,0,0,1,0,0,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,462,0.6280653950953679,13,0.375,0,48,0,0,1,0,0,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,699,0.9509536784741144,13,0.375,0,142,0,3,-1,3,2,0,0
4547194,POINT (16.4202441442564 48.13104979863716),10,0.4090909090909091,Klederinger Straße (Johanneskirche),,,2,0.25,587,0.7983651226158038,13,0.375,0,-1,0,0,-1,3,2,0,0
4547195,POINT (16.465640099921618 48.15560956947334),11,0.4545454545454545,Mühlsangergasse,,,1,0.0,319,0.433242506811989,32,0.96875,1,49,0,1,0,0,3,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,223,0.3024523160762942,9,0.25,2,50,0,0,1,0,0,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,650,0.8841961852861036,9,0.25,0,51,0,0,-1,3,0,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,428,0.5817438692098093,9,0.25,1,33,0,0,1,0,0,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,548,0.7452316076294278,9,0.25,0,52,0,0,-1,3,0,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,49,0.0653950953678474,9,0.25,2,-1,0,0,-1,0,0,0,0
4547196,POINT (16.41184580180886 48.17733085257606),11,0.4545454545454545,Hauffgasse,4,,3,0.5,559,0.7602179836512262,9,0.25,0,-1,0,0,-1,3,0,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,211,0.2861035422343324,27,0.8125,2,46,0,1,0,0,3,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,377,0.5122615803814714,27,0.8125,2,-1,0,1,0,0,3,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,457,0.6212534059945504,27,0.8125,0,48,0,1,0,0,3,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,644,0.8760217983651226,27,0.8125,0,53,0,3,0,0,2,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,568,0.7724795640326976,27,0.8125,0,54,0,3,0,0,2,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,174,0.2356948228882834,27,0.8125,2,55,0,1,0,0,3,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,548,0.7452316076294278,27,0.8125,0,-1,0,3,0,0,2,0,0
4547197,POINT (16.338461022782916 48.16045498494713),10,0.4090909090909091,Inzersdorf,,,3,0.5,68,0.0912806539509536,27,0.8125,2,-1,0,1,-1,0,3,0,0
4547198,POINT (16.402621202153725 48.19417929815256),3,0.0909090909090909,Baumgasse,,,2,0.25,630,0.8569482288828338,27,0.8125,0,18,0,3,0,0,2,0,0
4547199,POINT (16.39259123587594 48.191926278051575),3,0.0909090909090909,Aspangstraße,,,1,0.0,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4547199,POINT (16.39259123587594 48.191926278051575),3,0.0909090909090909,Aspangstraße,,,1,0.0,73,0.0980926430517711,27,0.8125,2,22,0,1,0,0,3,0,0
4547200,POINT (16.452292631472 48.1499298994043),11,0.4545454545454545,Zentralfriedhof (Neuer Israelitischer Friedhof),,,3,0.5,428,0.5817438692098093,33,1.0,1,33,0,1,0,0,3,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,568,0.7724795640326976,27,0.8125,0,19,0,3,0,0,2,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,461,0.6267029972752044,27,0.8125,0,20,0,1,0,0,3,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,140,0.1893732970027248,27,0.8125,2,56,0,1,0,0,3,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,559,0.7602179836512262,27,0.8125,0,19,0,3,0,0,2,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,715,0.9727520435967304,27,0.8125,0,21,0,3,0,0,2,0,0
4547201,POINT (16.398037578714984 48.18986361589352),3,0.0909090909090909,Aspangstraße,,,2,0.25,241,0.326975476839237,27,0.8125,2,44,0,1,0,0,3,0,0
4547202,POINT (16.36937085246006 48.18680672936528),4,0.1363636363636363,Kolschitzkygasse,,,1,0.0,241,0.326975476839237,32,0.96875,2,-1,0,1,0,0,3,0,0
4547202,POINT (16.36937085246006 48.18680672936528),4,0.1363636363636363,Kolschitzkygasse,,,1,0.0,532,0.723433242506812,32,0.96875,0,-1,0,3,-1,0,2,0,0
4547203,POINT (16.38317271710912 48.19519560464023),3,0.0909090909090909,Rennweg,,,1,0.0,422,0.5735694822888283,27,0.8125,0,35,0,1,0,0,3,0,0
4547204,POINT (16.388379742859023 48.194227239160305),3,0.0909090909090909,Rennweg,47,,1,0.0,658,0.8950953678474114,27,0.8125,0,18,0,3,0,0,2,0,0
4547204,POINT (16.388379742859023 48.194227239160305),3,0.0909090909090909,Rennweg,47,,1,0.0,626,0.8514986376021798,27,0.8125,0,18,0,3,0,0,2,0,0
4547205,POINT (16.351091987094104 48.212024800730575),8,0.3181818181818182,Florianigasse,,,1,0.0,319,0.433242506811989,27,0.8125,2,57,0,1,0,0,3,0,0
4547206,POINT (16.37313096558646 48.209104462619706),1,0.0,Stephansplatz,7,,1,0.0,234,0.3174386920980926,27,0.8125,2,25,0,1,0,0,3,0,0
4547207,POINT (16.37511364756222 48.20767040513488),1,0.0,Domgasse,8,,2,0.25,422,0.5735694822888283,9,0.25,0,13,0,0,1,0,0,0,0
4547207,POINT (16.37511364756222 48.20767040513488),1,0.0,Domgasse,8,,2,0.25,319,0.433242506811989,9,0.25,2,2,0,0,1,0,0,0,0
4547207,POINT (16.37511364756222 48.20767040513488),1,0.0,Domgasse,8,,2,0.25,650,0.8841961852861036,9,0.25,0,27,0,0,1,0,0,0,0
4547208,POINT (16.37876554297415 48.20779492405623),1,0.0,Dominikanerbastei,,,2,0.25,422,0.5735694822888283,15,0.4375,0,13,0,0,1,0,0,0,0
4547208,POINT (16.37876554297415 48.20779492405623),1,0.0,Dominikanerbastei,,,2,0.25,319,0.433242506811989,15,0.4375,2,2,0,0,1,0,0,0,0
4547209,POINT (16.356115926948725 48.205391789888246),7,0.2727272727272727,Neustiftgasse,3,,3,0.5,223,0.3024523160762942,22,0.65625,2,58,0,1,0,0,3,0,0
4547209,POINT (16.356115926948725 48.205391789888246),7,0.2727272727272727,Neustiftgasse,3,,3,0.5,319,0.433242506811989,22,0.65625,2,59,0,1,0,0,3,0,0
4547209,POINT (16.356115926948725 48.205391789888246),7,0.2727272727272727,Neustiftgasse,3,,3,0.5,457,0.6212534059945504,22,0.65625,0,60,0,1,0,0,3,0,0
4547210,POINT (16.3471805341705 48.214099113910024),8,0.3181818181818182,Skodagasse,,,2,0.25,422,0.5735694822888283,27,0.8125,0,61,0,1,0,0,3,0,0
4547210,POINT (16.3471805341705 48.214099113910024),8,0.3181818181818182,Skodagasse,,,2,0.25,715,0.9727520435967304,27,0.8125,0,-1,0,3,0,0,2,0,0
4547211,POINT (16.352109813365278 48.20961303402364),8,0.3181818181818182,Lange Gasse,,,1,0.0,319,0.433242506811989,27,0.8125,2,57,0,1,0,0,3,0,0
4547211,POINT (16.352109813365278 48.20961303402364),8,0.3181818181818182,Lange Gasse,,,1,0.0,241,0.326975476839237,27,0.8125,2,-1,0,1,0,0,3,0,0
4547212,POINT (16.360887366143587 48.21436101123166),9,0.3636363636363636,Sigmund-Freud-Park,,,1,0.0,10,0.0122615803814713,27,0.8125,2,-1,0,1,-1,0,3,0,0
