OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,626,0.8514986376021798,27,0.8125,0,27,0,3,0,0,2,0,0
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,15,0.0190735694822888,27,0.8125,2,3,0,1,0,0,3,0,0
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,659,0.896457765667575,27,0.8125,0,27,0,3,0,0,2,0,0
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,161,0.217983651226158,27,0.8125,2,3,0,1,0,0,3,0,0
4541142,POINT (16.374791131270978 48.21161661210432),1,0.0,Seitenstettengasse,4,5,2,0.25,444,0.603542234332425,27,0.8125,0,13,0,1,0,0,3,0,0
4541143,POINT (16.375018653749013 48.2002858830212),1,0.0,Lothringerstraße,,,1,0.0,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4541144,POINT (16.375070087528545 48.21129761856216),1,0.0,Rabensteig,1,,2,0.25,457,0.6212534059945504,27,0.8125,0,13,0,1,0,0,3,0,0
4541144,POINT (16.375070087528545 48.21129761856216),1,0.0,Rabensteig,1,,2,0.25,10,0.0122615803814713,27,0.8125,2,3,0,1,0,0,3,0,0
4541144,POINT (16.375070087528545 48.21129761856216),1,0.0,Rabensteig,1,,2,0.25,603,0.8201634877384196,27,0.8125,0,27,0,3,0,0,2,0,0
4541144,POINT (16.375070087528545 48.21129761856216),1,0.0,Rabensteig,1,,2,0.25,223,0.3024523160762942,27,0.8125,2,25,0,1,0,0,3,0,0
4541144,POINT (16.375070087528545 48.21129761856216),1,0.0,Rabensteig,1,,2,0.25,307,0.4168937329700272,27,0.8125,2,2,0,1,0,0,3,0,0
4541145,POINT (16.394017819030203 48.19319553167129),3,0.0909090909090909,Steingasse,25,,2,0.25,422,0.5735694822888283,27,0.8125,0,35,0,1,0,0,3,0,0
4541145,POINT (16.394017819030203 48.19319553167129),3,0.0909090909090909,Steingasse,25,,2,0.25,457,0.6212534059945504,27,0.8125,0,20,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,319,0.433242506811989,27,0.8125,2,16,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,568,0.7724795640326976,27,0.8125,0,19,0,3,0,0,2,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,644,0.8760217983651226,27,0.8125,0,18,0,3,0,0,2,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,461,0.6267029972752044,27,0.8125,0,20,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,715,0.9727520435967304,27,0.8125,0,21,0,3,0,0,2,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,337,0.4577656675749318,27,0.8125,2,15,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,377,0.5122615803814714,27,0.8125,2,74,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,693,0.9427792915531336,27,0.8125,0,73,0,3,0,0,2,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,211,0.2861035422343324,27,0.8125,2,17,0,1,0,0,3,0,0
4541146,POINT (16.392893519580447 48.1926123407939),3,0.0909090909090909,Rennweg,60,62,2,0.25,422,0.5735694822888283,27,0.8125,0,35,0,1,0,0,3,0,0
4541147,POINT (16.371367194120193 48.210106924127956),1,0.0,Wildpretmarkt,1,5,1,0.0,457,0.6212534059945504,27,0.8125,0,13,0,1,0,0,3,0,0
4541148,POINT (16.350720588034893 48.217275057380654),9,0.3636363636363636,Rummelhardgasse,4,,3,0.5,428,0.5817438692098093,21,0.625,0,38,0,1,0,0,3,0,0
